size,time(ms)(hybrid),time(ms)(merge),cmp(hybrid),cmp(merge)
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,72,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,74,83,73715934,18671160
2147483647,73,84,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,74,84,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,75,82,73715934,18671160
2147483647,74,82,73715934,18671160
2147483647,73,82,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,73,83,73715934,18671160
2147483647,93,84,116809028,18671160
2147483647,100,83,133729283,18671160
2147483647,100,84,133729283,18671160
2147483647,99,83,133729283,18671160
2147483647,100,84,133729283,18671160
2147483647,100,83,133729283,18671160
2147483647,100,83,133729283,18671160
2147483647,99,83,133729283,18671160
2147483647,100,83,133729283,18671160
2147483647,99,83,133729283,18671160
2147483647,99,84,133729283,18671160
2147483647,99,83,133729283,18671160
2147483647,100,83,133729283,18671160
